"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.1993,0.0538652,0.169988,0.09013084,11,0.1993,0.169988,0.160882727272727,3,3,0,NA,NA,NA,NA,NA,19,17,18,17.9972352190557,20.9275,20.9,20.91,20.9122405098111,106.592,103.128,104.143,104.486275231481,"0","0","6","1","0","0","0","0","0","0","0","0","0","0",2016-02-29
"2",0.423793,0.0439453,0.33755,0.10457417384914,0,-Inf,NA,NA,0.193806,0.0497939,0.165377,0.0881623307692308,13,0.193806,0.165377,0.158230538461538,3,3,0,NA,NA,NA,NA,NA,18.5,17,18,17.7763543191801,20.9325,20.8975,20.9125,20.9126636153199,106.384,103.324,104.574,104.735415625,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-03-01
"3",9.18783,0,0.3853255,0.0998984765739756,1,9.18783,9.18783,9.18783,0.198645,0.0576497,0.1269795,0.0903810666666667,6,0.198645,0.1269795,0.137904333333333,3,3,1,2,NA,NA,NA,NA,19.5,0,17.5,13.0845933796485,20.93,0.0025,20.91,15.4427265013055,105.95,89.8784,103.583,99.6193073726852,"1","1","17","1","0","0","0","0","0","0","0","0","0","0",2016-03-02
"4",3.4583,0,0.348805,0.11119460712504,7,3.4583,0.224078,0.862866142857143,24.3829,0.0520915,0.136966,0.372810694318182,22,24.3829,0.136966,1.24675395454545,3,3,0,6,NA,NA,NA,NA,31,0,16,14.0329062317997,21.09,0.005,20.91,19.6267554780876,105.162,92.3981,103.598,101.838169398148,"1","1","20","1","0","0","0","0","0","0","0","0","0","0",2016-03-03
"5",4.37648,0.0439453,0.256243,0.0930012522352095,0,-Inf,NA,NA,0.196911,0.0613889,0.129008,0.100690705454545,77,0.196911,0.129008,0.139366467532468,3,3,0,NA,NA,NA,NA,NA,16,14,16,15.9019396551724,20.83,20.8025,20.815,20.8138895101767,103.964,102.56,103.1275,103.151291898148,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-03-04
"6",6.0258,0,0.357013,0.090071412252679,0,-Inf,NA,NA,0.198038,0.067258,0.126168,0.0972005812727273,55,0.198038,0.126168,0.134195818181818,3,3,0,NA,NA,NA,NA,NA,17,15.5,16,16,20.83,20.795,20.8125,20.8127687249857,103.248,101.147,102.66,102.522757407407,"0","0","24","1","0","0","0","0","0","0","0","0","0","0",2016-03-05
"7",2.59612,0,0.259984,0.126263861449179,26,0.504893,0.230442,0.308570076923077,0.189955,0.063319,0.1264785,0.0977386565625,48,0.189955,0.1264785,0.130179479166667,3,3,0,NA,NA,NA,NA,NA,18,16,17.5,17.3404368673415,20.8275,20.7975,20.81,20.8101648116438,104.954,100.108,101.594,102.096984259259,"7","1","18","1","0","0","3","1","0","0","2","1","0","0",2016-03-06
"8",0.514367,0.0878906,0.256243,0.166462616639622,90,0.514367,0.240698,0.271664511111111,0.185594,0.05576,0.126416,0.0956630081481482,27,0.185594,0.126416,0.138255962962963,3,3,0,NA,NA,NA,NA,NA,18,16,16,16.3163265306122,20.815,20.8025,20.81,20.8096894506866,104.75,101.179,102.498,102.796688657407,"24","1","0","0","0","0","12","1","0","0","8","1","0","0",2016-03-07
"9",0.547115,0.0878906,0.272622,0.173018155622943,93,0.547115,0.248592,0.285231301075269,0.189261,0.04817,0.121261,0.0925856676923077,13,0.189261,0.121261,0.136720615384615,3,3,0,NA,NA,NA,NA,NA,16.5,16,16.5,16.2553435114504,20.815,20.7975,20.81,20.8093116224649,104.504,101.609,102.991,103.068709375,"24","1","1","1","3","1","12","1","2","1","8","1","1","1",2016-03-08
"10",0.393059,0,0.228347,0.158471512441841,93,0.393059,0.224078,0.231643086021505,0.19367,0.0510688,0.14176,0.0889223036363636,11,0.19367,0.14176,0.149515909090909,3,3,0,0,NA,NA,NA,NA,16.5,1,16.5,16.2979166666667,20.8175,8.985,20.81,20.8078894373149,105.429,102.817,103.316,103.714096296296,"24","1","1","1","0","0","12","1","0","0","8","1","0","0",2016-03-09
