"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.204396,0.0616302,0.1338,0.103460111111111,27,0.204396,0.1338,0.147167148148148,3,3,0,2,NA,NA,NA,NA,24,0,20.5,18.1360582306831,21.1275,0.005,21.11,13.027314,105.168,92.2429,94.3957,96.0212333680556,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",2016-04-30
"2",3.25255,0.0621481,0.383106,0.120646333185733,1,3.25255,3.25255,3.25255,1.64899,0.0491273,0.164988,0.117147342162162,37,1.64899,0.164988,0.250599162162162,3,3,0,0,NA,NA,NA,NA,25.5,0,20.5,19.3120567375887,23.6,0.005,21.1125,17.0154164711403,106.509,92.6746,94.83695,98.795133275463,"1","1","10","1","0","0","0","0","0","0","0","0","0","0",2016-05-02
"3",6.13647,0.0621481,0.452445,0.133150816241833,12,6.13647,3.766605,3.55781525,3.20139,0.0576497,0.141166,0.128537180423729,59,3.20139,0.141166,0.269658898305085,3,3,0,1,NA,NA,NA,NA,35.5,0.5,20.5,20.3812223451327,21.135,0.005,21.115,17.9116011904762,106.199,93.1036,104.498,101.903525763889,"3","1","15","1","0","0","2","1","0","0","1","1","0","0",2016-05-03
"4",3.43758,0,0.294794,0.117564429031189,1,3.43758,3.43758,3.43758,0.174468,0.0622424,0.122344,0.09870434,5,0.174468,0.122344,0.1329868,3,3,0,3,NA,NA,NA,NA,23.5,0.5,20.5,19.4444444444444,21.12,0.005,21.1125,16.072199050949,105.634,92.8582,93.9912,96.0639114508323,"0","0","6","1","0","0","0","0","0","0","0","0","0","0",2016-05-04
"5",7.89293,0,0.951698,0.124289026873678,5,7.89293,4.66193,4.673958,0.869575,0.0478696,0.131228,0.1094084572,25,0.869575,0.131228,0.17329784,3,3,1,7,NA,NA,NA,NA,33.5,0,21,15.1490731204943,23.8025,0.0025,21.11,15.5614159292035,105.161,92.741,93.947,97.3787811689815,"1","1","11","1","0","0","1","1","0","0","0","0","0","0",2016-05-05
"6",1.7937,0,0.613663,0.163493534789999,16,1.44352,0.354298,0.5467325,0.258046,0.0435791,0.122778,0.0890018133333333,3,0.258046,0.122778,0.167207333333333,3,3,1,10,NA,NA,NA,NA,24.5,0,21,16.2545787545788,22.62,0,20.96,16.6948429108485,105.128,92.7863,93.7316,97.2623852314815,"5","1","7","1","5","1","3","1","3","1","2","1","2","1",2016-05-06
"7",2.85442,0.0621481,0.448156,0.175442526800222,24,2.85442,0.3829735,0.629823583333333,1.52016,0.034833,0.833771,0.21444908,2,1.52016,0.833771,0.833771,3,3,0,4,NA,NA,NA,NA,24.5,0,21,15.8762261973456,20.97,0.005,20.9575,15.6543940061701,104.819,92.4504,93.2577,97.7466495421352,"7","1","5","1","3","1","6","1","2","1","3","1","1","1",2016-05-07
"8",3.80095,0.0621481,0.33178,0.166568386643824,76,3.80095,0.302868,0.456061684210526,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,NA,NA,23,20,20.5,20.6938275165849,20.9725,20.9575,20.965,20.9643466172382,105.449,103.804,104.306,104.420810069444,"22","1","2","1","2","1","11","1","1","1","8","1","0","0",2016-05-08
"9",5.52559,0.0439453,0.340399,0.145258726394953,45,5.52559,0.252447,0.966855355555556,2.58919,0.0438431,2.19911,0.462007406666667,3,2.58919,2.19911,2.09904666666667,3,3,0,NA,NA,NA,NA,NA,22.5,20,20.5,20.5182982616651,20.98,20.955,20.965,20.9649239949749,106.125,93.4057,104.269,103.943687986111,"13","1","10","1","0","0","8","1","0","0","5","1","0","0",2016-05-09
"10",4.01421,0,0.294794,0.105658830794599,1,2.47892,2.47892,2.47892,0.12197,0.0404397,0.121071,0.07056715,2,0.12197,0.121071,0.121071,3,3,0,1,NA,NA,NA,NA,23.5,0.5,20.5,20.5702174714338,24.1,0.01,20.9625,20.7671674937965,106.666,93.9876,104.4075,104.350163761574,"1","1","23","1","0","0","0","0","0","0","0","0","0","0",2016-05-10
