"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.621119,0.127478,0.2612105,0.240445199367089,158,0.621119,0.2612105,0.275371158227848,6,6,0,NA,NA,NA,NA,NA,17,1,15,14.7579355885079,21.8175,3.49,21.7975,21.7904710305175,107.579,103.359,104.9715,105.263493634259,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",2015-10-31
"2",5.00398,0,0.473305,0.260557114739712,96,5.00398,0.4427355,0.520208395833333,0.450838,0.128437,0.302145,0.262468119496855,159,0.450838,0.302145,0.300197597484277,6,6,0,NA,NA,NA,NA,NA,16,0,14.5,14.7292366500637,21.82,15.0825,21.8,21.798198945573,106.822,103.559,104.886,105.147231365741,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-11-01
"3",2.96688,0,0.489354,0.276302004003212,95,2.96688,0.467145,0.520555842105263,37.2341,0.147694,0.340656,0.424639968553459,159,37.2341,0.340656,0.581981616352201,6,6,0,1,NA,NA,NA,NA,17,0,14.5,14.4287285780454,21.9075,0.425,21.8,21.7802583646029,106.031,103.208,104.352,104.534143865741,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-11-02
"4",3.71773,0,0.506802,0.289681314395622,96,3.71773,0.484395,0.540803333333333,0.86941,0.0923028,0.342244,0.31252358427673,159,0.86941,0.342244,0.355934578616352,6,6,0,1,NA,NA,NA,NA,17.5,0,14.5,14.4618904204796,21.8625,0.41,21.7975,21.7735507198953,105.557,101.747,103.935,104.040655671296,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-11-03
"5",1.75231,0,0.591224,0.324880320132782,95,1.75231,0.510598,0.603700484210526,0.993875,0.136286,0.357061,0.359895292993631,157,0.993875,0.357061,0.41527825477707,6,6,0,0,NA,NA,NA,NA,20.5,0,14.5,13.4879221388368,21.8625,1.0825,21.7925,21.7593219654615,105.421,102.526,103.683,103.919790362293,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-11-04
"6",4.45498,0.116268,0.567899,0.34720817499404,95,4.45498,0.540009,0.653582357894737,0.992512,0.128243,0.3323375,0.328751407051282,156,0.992512,0.3323375,0.374288942307692,6,6,0,NA,NA,NA,NA,NA,20.5,0,14,13.356365110622,25.0275,5.2525,21.7925,21.76829811464,105.832,102.033,103.471,103.768567476852,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-11-05
"7",5.69512,0,0.474323,0.286246586630762,96,5.69512,0.4598525,0.530102489583333,0.474469,0.0206846,0.282828,0.246931052201258,159,0.474469,0.282828,0.284100685534591,6,6,0,NA,NA,NA,NA,NA,16,3,14.5,14.226062290147,21.8125,3.1525,21.795,21.7832750555027,105.879,102.191,103.6555,103.895941782407,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-11-06
"8",5.79028,0,0.483398,0.291808198688886,95,5.79028,0.465073,0.538640663157895,24.0304,0.0220122,0.2612705,0.319736281875,160,24.0304,0.2612705,0.4292819375,6,6,0,NA,NA,NA,NA,NA,15.5,0,14,13.8971286326271,21.8125,1.4075,21.795,21.7819859057301,105.957,101.997,103.5735,103.847686458333,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-11-07
"9",5.88687,0,0.419212,0.245701410155053,95,5.88687,0.402765,0.493327347368421,33.9757,0.131508,0.234562,0.328578116352201,159,33.9757,0.234562,0.463200339622642,6,6,0,1,NA,NA,NA,NA,15.5,0,14,14.0528516668603,21.8125,0.395,21.795,21.7545767580818,105.387,97.3282,103.552,103.653995729167,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-11-08
"10",5.39902,0,0.397942,0.230410923804015,96,5.39902,0.383106,0.457611052083333,0.401855,0.12447,0.2312535,0.20608210625,160,0.401855,0.2312535,0.233886825,6,6,0,NA,NA,NA,NA,NA,15.5,0,14,13.9517193469955,21.815,1.6375,21.795,21.7837316849817,104.744,101.517,103.133,103.274250694444,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-11-09
"11",3.92739,0,0.582171,0.303279578929385,93,3.92739,0.421509,0.596769698924731,0.815145,0.13505,0.236318,0.265687545253863,151,0.815145,0.236318,0.297089516556291,6,6,0,1,NA,NA,NA,NA,23.5,0,13.5,12.3631979997619,22.015,0.0075,21.7925,21.6139876088413,104.523,90.6063,102.908,102.817674201389,"24","1","0","0","23","1","12","1","12","1","8","1","8","1",2015-11-10
"12",10.8888,0,0.6670145,0.358936046015167,81,10.8888,0.567899,0.806475790123457,0.960345,0.123719,0.26032,0.370578978964401,103,0.960345,0.26032,0.404565970873786,6,6,0,2,NA,NA,NA,NA,34.5,0,13.5,10.9326630618452,21.9275,0.0025,21.79,21.3766054328708,104.494,82.7048,102.237,97.7991268171296,"20","1","3","1","20","1","11","1","10","1","7","1","7","1",2015-11-11
"13",6.21698,0,0.63531,0.329356805583496,92,6.21698,0.573813,0.646788358695652,0.865626,0.12108,0.254542,0.247173231543624,149,0.865626,0.254542,0.284426456375839,6,6,0,3,NA,NA,NA,NA,20,0,13,12.8571254419115,21.8825,0.375,21.79,21.5870965068842,104.632,93.7272,102.52,102.432738842593,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-11-12
"14",1.89016,0.0439453,0.728751,0.37125446065494,95,1.89016,0.667911,0.6934224,99.5452,0.0273028,0.3144475,0.643871182911392,158,99.5452,0.3144475,1.00859986075949,6,6,0,NA,NA,NA,NA,NA,17.5,0,11.5,9.89595877721167,21.9775,0.95,21.79,21.7585744720267,105.365,101.597,102.941,103.310567361111,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-11-13
"15",0.638343,0,0.3091785,0.232840692554683,96,0.638343,0.288169,0.326181583333333,0.323128,0.208631,0.309498,0.262588666666667,3,0.323128,0.309498,0.295245,8,7,1,NA,NA,NA,NA,NA,21,5,18.5,17.7599876122639,21.845,21.6825,21.7925,21.7941853057758,106.395,102.131,103.689,104.045691666667,"24","1","0","0","20","1","12","1","9","1","8","1","8","1",2015-11-14
"16",0.450305,0.107644,0.267309,0.188635261143316,95,0.450305,0.259984,0.265612536842105,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0,NA,NA,NA,NA,NA,19,17.5,18.5,18.3013425253991,21.8225,21.7675,21.7975,21.7981098696462,105.484,103.019,104.331,104.387920949074,"24","1","0","0","6","1","12","1","3","1","8","1","0","0",2015-11-15
"17",0.395508,0.0982647,0.274438,0.192477045157932,96,0.395508,0.263672,0.268309666666667,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0,NA,NA,NA,NA,NA,20,12.5,18.5,18.2751628182356,21.9025,21.67,21.7975,21.7941327614999,105.566,102.901,103.901,104.098069907407,"23","1","0","0","1","1","12","1","0","0","8","1","0","0",2015-11-16
"18",0.414579,0.0878906,0.281387,0.194879232064221,95,0.414579,0.274438,0.276854947368421,0.126684,0.0974109,0.1238945,0.1166511125,4,0.126684,0.1238945,0.12403875,8,8,0,NA,NA,NA,NA,NA,22,9,18.5,18.2487373737374,21.8225,21.6275,21.795,21.7934618380062,106.168,102.888,104,104.312329166667,"24","1","0","0","5","1","12","1","3","1","8","1","2","1",2015-11-17
"19",5.83265,0,0.274438,0.196379424638222,95,5.83265,0.270897,0.396984936842105,0.151268,0.0803,0.127673,0.12136209893617,47,0.151268,0.127673,0.128667914893617,8,8,0,NA,NA,NA,NA,NA,20,1.5,18.5,18.5077413479053,21.81,7.8525,21.795,21.7927257417228,106.584,103.29,104.308,104.697150810185,"24","1","0","0","8","1","12","1","4","1","8","1","3","1",2015-11-18
"20",7.29519,0,0.277935,0.192132219439933,96,7.29519,0.267309,0.385332375,0.156118,0.0888916,0.127861,0.123314664375,80,0.156118,0.127861,0.1290182875,8,8,0,NA,NA,NA,NA,NA,19.5,0,18.5,18.2174805088223,21.8225,1.8275,21.795,21.7887063050233,106.638,103.149,104.663,104.892235069444,"24","1","0","0","8","1","12","1","3","1","8","1","3","1",2015-11-19
"21",4.19488,0,0.277935,0.196834331708298,95,4.19488,0.267309,0.320343526315789,0.164647,0.0891533,0.131082,0.124987621621622,111,0.164647,0.131082,0.131802612612613,8,8,0,NA,NA,NA,NA,NA,19,17.5,18,18.09040291557,21.7675,21.665,21.745,21.745280847905,106.996,103.57,104.6905,105.054740625,"24","1","0","0","8","1","12","1","5","1","8","1","3","1",2015-11-20
"22",2.6767,0,1.7558305,0.239018450730375,4,2.6767,0.2991405,0.88374125,34.423,0.0196054,0.141978,3.582078838,10,34.423,0.141978,3.6621698,6,7,1,4,NA,NA,NA,NA,18.5,0,18,15.8274559193955,22.6675,0,21.7475,13.3672439544808,106.28,92.3656,93.552,94.3003499768518,"1","1","0","0","1","1","0","0","0","0","1","1","1","1",2015-11-21
"23",10.49,0,1.137595,0.218202886408843,71,10.49,0.518108,1.62521366197183,1.82966,0.0508351,0.2188315,0.218473347826087,46,1.82966,0.2188315,0.271512891304348,8,8,1,4,NA,NA,NA,NA,27,0,21.5,18.8374510394697,23.34,0.365,21.7325,20.5578618138937,104.328,91.5949,102.474,100.39970619213,"19","1","2","1","9","1","10","1","5","1","7","1","3","1",2015-11-25
"24",6.25662,0,0.491324,0.212288148863496,59,6.25662,0.462993,1.35140279661017,0.16589,0.083337,0.125005,0.11526429375,8,0.16589,0.125005,0.131829875,8,8,0,4,NA,NA,NA,NA,29,0,22.5,22.2162375516153,21.615,0.36,21.6025,21.2297821302817,104.265,92.5229,102.0375,102.068744780093,"15","1","10","1","8","1","8","1","4","1","5","1","3","1",2015-11-26
"25",6.63167,0,0.473305,0.256992446069209,72,6.63167,0.457748,0.942646944444444,0.144977,0.0888916,0.1254575,0.116426725,18,0.144977,0.1254575,0.127955222222222,8,8,0,2,NA,NA,NA,NA,31.5,0,22,21.8318516785589,21.61,0.36,21.6,21.4807624794295,104.507,93.9766,101.996,102.343462453704,"19","1","6","1","13","1","10","1","7","1","7","1","5","1",2015-11-27
"26",8.09859,0,0.586304,0.320009202089024,81,8.09859,0.543573,0.830289913580247,38.8574,0.0866085,0.126174,0.54025114673913,46,38.8574,0.126174,0.969366652173913,8,8,0,2,NA,NA,NA,NA,23,0,21,21.184329657574,21.6175,0.395,21.6,21.5454622503207,104.434,99.6652,102.0165,102.328399386574,"21","1","3","1","13","1","10","1","7","1","7","1","5","1",2015-11-28
"27",5.39669,0,0.581342,0.310740651954795,88,5.39669,0.4967245,0.656872852272727,0.149117,0.0839867,0.1280065,0.12244609047619,42,0.149117,0.1280065,0.128882452380952,8,8,0,NA,NA,NA,NA,NA,22.5,0,21,20.9443412652351,21.62,0.9225,21.6,21.5783721850809,104.466,100.649,102.0515,102.378804282407,"22","1","2","1","12","1","11","1","7","1","8","1","5","1",2015-11-29
"28",5.45418,0,0.3417415,0.300481895818327,78,5.45418,0.352909,0.539772038461538,0.153439,0.0945141,0.1268675,0.120464016304348,46,0.153439,0.1268675,0.128746347826087,8,8,0,NA,NA,NA,NA,NA,22.5,0,20.5,20.6636701078761,21.6225,0.86,21.6,21.5731062212796,104.211,100.742,102.1965,102.376190162037,"20","1","4","1","12","1","10","1","6","1","7","1","4","1",2015-11-30
