"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_yesterday_swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",4.98155,0,0.244677,0.170981849431176,59,4.98155,0.232537,0.338688677966102,0.138491,0.0661307,0.125303,0.0950155881632653,7,0.138491,0.125303,0.128050285714286,6,6,0,1,NA,NA,NA,NA,22,0,6.5,8.24973516949153,21.955,0.0075,21.8,20.3681866080319,109.125,95.0515,105.361,102.074801122685,"16","1","1","1","1","1","9","1","0","0","6","1","0","0",2015-09-21
"2",5.32537,0,0.343224,0.17245278977254,86,5.32537,0.301257,0.37787188372093,0.182064,0.0597915,0.12657,0.0918261799319728,7,0.182064,0.12657,0.136667,6,6,0,1,NA,NA,NA,NA,19,0,18,17.3053500284576,21.815,0.0075,21.8,21.5870156889495,108.909,94.6597,104.818,104.377842696759,"22","1","0","0","0","0","11","1","0","0","7","1","0","0",2015-09-22
"3",5.09121,0,0.343224,0.17799568968767,87,5.09121,0.288169,0.440968885057471,0.19738,0.0588754,0.172905,0.0903987477777778,6,0.19738,0.172905,0.169629166666667,6,6,0,0,NA,NA,NA,NA,26.5,0.5,18.5,18.4581257413998,21.825,0.005,21.795,21.5622759116221,107.778,93.497,104.3905,104.068626452671,"22","1","0","0","1","1","11","1","0","0","8","1","0","0",2015-09-23
"4",3.90471,0,0.344625,0.178545003239777,91,3.90471,0.313832,0.417138978021978,0.229935,0.0621602,0.151262,0.0947124516666667,12,0.229935,0.151262,0.152990583333333,6,6,0,NA,NA,NA,NA,NA,23,0.5,18,17.9524243528983,24.5175,20.8675,21.7975,21.8041218938885,108.411,96.4881,105.204,105.167082835648,"23","1","0","0","0","0","12","1","1","1","8","1","1","1",2015-09-24
"5",7.33202,0,0.471261,0.240409559287747,95,7.33202,0.423793,0.495227242105263,0.172298,0.0546057,0.1334245,0.089543869,10,0.172298,0.1334245,0.1381613,6,6,0,1,NA,NA,NA,NA,19,0,18,17.9793762575453,21.83,0.38,21.7975,21.7690897782201,108.279,99.3916,105.8,105.936883900463,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-09-25
"6",0.703125,0,0.441645,0.249341870169632,95,0.703125,0.383106,0.398331989473684,0.174038,0.0522512,0.153275,0.0859974668571429,5,0.174038,0.153275,0.147213,6,6,0,1,NA,NA,NA,NA,22,0,18,17.8307692307692,21.905,0.3825,21.8,21.6682084502393,107.923,95.0688,105.5975,105.622253402778,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-09-26
"7",2.1144,0,0.435036,0.265646183046744,96,2.1144,0.3881065,0.42230003125,0.150166,0.0624344,0.126564,0.0942289578809524,10,0.150166,0.126564,0.1297158,6,6,0,NA,NA,NA,NA,NA,20.5,5.5,18,17.7804685443538,21.875,7.5225,21.8,21.7943150892047,107.909,103.426,105.572,105.51506875,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-09-27
"8",4.11235,0,0.402765,0.259246463544548,95,4.11235,0.365037,0.428200810526316,0.171957,0.0559542,0.1291585,0.0863981781462585,14,0.171957,0.1291585,0.133851642857143,6,6,0,1,NA,NA,NA,NA,25,0,18,17.8441085922194,25.035,0.3725,21.7975,21.7576270491803,106.829,96.9241,104.856,104.892290623551,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-09-28
"9",7.38543,0,0.423793,0.294216076842925,95,7.38543,0.407532,0.498862284210526,0.31114,0.0212768,0.13115,0.092717737037037,9,0.31114,0.13115,0.160768444444444,6,6,0,NA,NA,NA,NA,NA,24.5,8.5,18,17.9700591107684,21.95,21.4,21.7975,21.7955896108755,106.486,103.715,104.816,104.966763078704,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-09-29
"10",0.479387,0,0.4157405,0.294224412500088,28,0.479387,0.4051485,0.408345714285714,0.144985,0.0642004,0.1373175,0.0934283695535714,4,0.144985,0.1373175,0.136196,6,6,0,NA,NA,NA,NA,NA,18.5,17.5,18,18.1462306993642,21.8025,21.7425,21.7975,21.7966456266907,105.932,104.32,104.926,105.018085714286,"7","1","0","0","7","1","3","1","3","1","2","1","2","1",2015-09-30
