pjtn_yesterday_pjtn_max_value,pjtn_yesterday_pjtn_min_value,pjtn_yesterday_pjtn_median_value,pjtn_yesterday_pjtn_average_value,pjtn_yesterday_pjtn_event_count,pjtn_yesterday_pjtn_event_max_value,pjtn_yesterday_pjtn_event_median_value,pjtn_yesterday_pjtn_event_average_value,sigma_yesterday_sigma_max_value,sigma_yesterday_sigma_min_value,sigma_yesterday_sigma_median_value,sigma_yesterday_sigma_average_value,sigma_yesterday_sigma_event_count,sigma_yesterday_sigma_event_max_value,sigma_yesterday_sigma_event_median_value,sigma_yesterday_sigma_event_average_value,thy_resv_yesterday_thy_resv_median_value,thy_resv_yesterday_thy_resv_average_value,thy_resv_yesterday_thy_resv_high_var,swrd_yesterday_swrd_trip_count,temp_yesterday_temp_max_value,temp_yesterday_temp_min_value,temp_yesterday_temp_median_value,temp_yesterday_temp_average_value,dqi_yesterday_dqi_max_value,dqi_yesterday_dqi_min_value,dqi_yesterday_dqi_median_value,dqi_yesterday_dqi_average_value,hvv_yesterday_hvv_max_value,hvv_yesterday_hvv_min_value,hvv_yesterday_hvv_median_value,hvv_yesterday_hvv_average_value,wndw_yesterday_wndw_max_value,wndw_yesterday_wndw_min_value,wndw_yesterday_wndw_median_value,wndw_yesterday_wndw_average_value,jitter_event_60m_15v_count,jitter_60m_15v,no_jitter_60m_count,no_jitter_60m_15v,jitter_event_60m_20v_count,jitter_60m_20v,jitter_event_120m_15v_count,jitter_120m_15v,jitter_event_120m_20v_count,jitter_120m_20v,jitter_event_180m_15v_count,jitter_180m_15v,jitter_event_180m_20v_count,jitter_180m_20v,timestamp
2.23733,0.0982647,0.829158,0.339578263,13,2.23733,0.596103,0.750846077,0.39144,0.088049,0.367508,0.332584833,9,0.39144,0.367508,0.363125667,5,5,1,0,"(60,65]","(35,40]","(40,45]","(45,50]",20,0,9.5,6.21124031,22.1125,0,16.4,15.60318329,105.002,65.7892,71.1224,75.53465482,4,1,0,0,4,1,2,1,2,1,2,1,2,1,1/5/15
7.94827,0,0.5497495,0.334748883,90,7.94827,0.519968,0.841237389,0.380901,0.0682571,0.179928,0.212956361,111,0.380901,0.179928,0.230578982,5,5,0,0,"(60,65]","(35,40]","(45,50]","(45,50]",27.5,0,6.5,6.491234935,22.09,0.0075,21.9675,21.75145767,106.106,93.2598,103.62,103.2328072,23,1,0,0,23,1,12,1,12,1,8,1,8,1,1/6/15
2.09006,0.138967,0.570438,0.34041688,96,2.09006,0.5373195,0.610743229,0.372693,0.0936392,0.201376,0.202014661,119,0.372693,0.201376,0.224287218,5,5,0,0,"(65,70]","(35,40]","(45,50]","(50,55]",17.5,1,5.5,6.093156947,22.01,21.585,21.87,21.83679559,106.552,102.988,104.249,104.5086649,24,1,0,0,24,1,12,1,12,1,8,1,8,1,1/7/15
0.915498,0,0.713342,0.379603317,55,0.915498,0.692051,0.698793236,0.449834,0.0594007,0.235337,0.224895059,91,0.449834,0.235337,0.252864022,5,5,1,0,"(65,70]","(45,50]","(50,55]","(50,55]",17.5,0,5,4.847076789,22.05,0.0025,21.87,21.48118133,105.766,89.4325,104.166,99.44468927,14,1,1,1,14,1,7,1,7,1,4,1,4,1,1/8/15
4.75991,0.107644,0.555869,0.290431065,53,4.75991,0.506802,0.709896585,0.465485,0.102991,0.232273,0.221965324,87,0.465485,0.232273,0.243996299,5,5,0,0,"(65,70]","(45,50]","(50,55]","(50,55]",20,0.5,5,4.809276068,22.055,0.165,21.77,21.69362804,106.239,86.5821,103.755,98.23746554,14,1,0,0,14,1,7,1,7,1,5,1,5,1,1/9/15
0.837271,0.124296,0.578844,0.275027952,96,0.837271,0.567899,0.533330708,0.484882,0.110779,0.237184,0.228755156,157,0.484882,0.237184,0.251795025,5,5,0,0,"(60,65]","(40,45]","(50,55]","(50,55]",6,2.5,4,4.313901609,21.7775,21.76,21.7675,21.76712491,106.504,103.658,104.877,104.9825319,24,1,0,0,24,1,12,1,12,1,8,1,8,1,1/10/15
0.660643,0,0.516241,0.269616675,95,0.660643,0.450305,0.470315611,0.405908,0.14648,0.2380985,0.225399085,158,0.405908,0.2380985,0.24351688,5,5,0,0,"(60,65]","(40,45]","(45,50]","(50,55]",7,1.5,4,4.15258133,21.775,21.6925,21.7675,21.76678007,106.187,103.364,104.537,104.6766025,24,1,0,0,24,1,12,1,12,1,8,1,8,1,1/11/15
2.14523,0.0761155,0.426066,0.229794967,70,2.14523,0.412244,0.465241057,0.417957,0.104071,0.230786,0.218329619,105,0.417957,0.230786,0.23560981,5,5,1,0,"(65,70]","(40,45]","(45,50]","(50,55]",29,0,4.5,7.894260724,24.9675,0.275,21.7675,21.83673407,107.003,101.203,104.309,104.7096037,18,1,6,1,16,1,9,1,8,1,7,1,5,1,1/12/15
2.96004,0.0761155,0.313832,0.190541455,89,2.96004,0.281387,0.367178337,0.235178,0.0281431,0.1767405,0.150571119,28,0.235178,0.1767405,0.173875893,5,5,0,0,"(65,70]","(40,45]","(45,50]","(50,55]",22.5,1,13,12.27765312,22.17,21.7075,21.9875,21.97598541,106.847,93.2378,104.762,104.7153796,23,1,0,0,6,1,12,1,3,1,8,1,4,1,1/13/15
0.489354,0.0761155,0.31074,0.171889884,67,0.489354,0.301274,0.303966597,0.294546,0.0644599,0.206957,0.173066249,65,0.294546,0.206957,0.204286954,5,5,0,0,"(60,65]","(35,40]","(45,50]","(45,50]",20.5,1,11,10.91408669,22.155,21.655,21.935,21.93403791,106.489,103.26,104.466,104.7340786,16,1,8,1,5,1,8,1,1,1,6,1,0,0,1/14/15
7.91992,0.0761155,0.259984,0.183818879,85,7.91992,0.248592,0.3773846,383.835,0.0632254,0.2537455,3.969244808,34,383.835,0.2537455,11.52724326,5,5,0,0,"(60,65]","(35,40]","(45,50]","(45,50]",24.5,1,18,16.50461668,22.18,21.6175,22,21.96790717,106.658,103.186,104.5045,104.6956498,23,1,2,1,4,1,11,1,2,1,8,1,1,1,1/15/15
1.36372,0,0.236653,0.168274589,82,1.36372,0.232537,0.27315239,3.14431,0.0657303,0.2552845,0.318058989,12,3.14431,0.2552845,0.490561583,5,5,0,0,"(65,70]","(40,45]","(50,55]","(50,55]",23,0.5,17.5,16.55972782,22.1375,0.27,21.9975,21.97753096,106.819,103.54,105.134,105.2347481,22,1,1,1,2,1,11,1,0,0,8,1,0,0,1/16/15
4.32342,0.0878906,0.288169,0.201024874,96,4.32342,0.274438,0.373919771,438.356,0.0695865,0.213982,2.567882792,61,438.356,0.213982,7.394239377,5,5,0,0,"(65,70]","(45,50]","(50,55]","(55,60]",21,0.5,12.5,11.558281,22.085,16.8625,21.9025,21.89994473,107.012,104.679,105.43,105.6508649,24,1,0,0,10,1,12,1,6,1,8,1,3,1,1/17/15
0.905956,0.0982647,0.274438,0.188458858,82,0.905956,0.263672,0.284101976,0.274852,0.067617,0.194726,0.149341429,25,0.274852,0.194726,0.1934766,5,5,0,0,"(65,70]","(45,50]","(50,55]","(55,60]",21.5,0.5,12.5,12.78144415,22.34,17.2475,21.9225,21.93113752,107.25,104.476,105.327,105.6333943,22,1,1,1,6,1,11,1,4,1,8,1,1,1,1/18/15
2.62644,0.107644,0.299663,0.211718107,91,1.48961,0.284798,0.317883912,0.33662,0.068688,0.241874,0.19737843,36,0.33662,0.241874,0.23888725,5,5,0,0,"(60,65]","(50,55]","(55,60]","(55,60]",24,0.5,16,14.5485034,25.445,10.82,21.965,21.94228299,106.643,105.026,105.694,105.796923,24,1,0,0,19,1,12,1,9,1,8,1,7,1,1/19/15
2.62644,0.0761155,0.2915,0.19718098,92,2.62644,0.2761865,0.33182762,2.89948,0.0637391,0.2312455,0.209856779,24,2.89948,0.2312455,0.3329595,5,5,0,0,"(65,70]","(40,45]","(45,50]","(50,55]",23,0.5,15.5,14.12476571,23.115,14.0625,21.96,21.94470743,106.791,103.765,104.862,105.1329209,23,1,1,1,12,1,12,1,6,1,8,1,5,1,1/20/15
2.67994,0.0878906,0.294794,0.203473969,79,2.67994,0.281387,0.348093709,0.348123,0.0697648,0.2166625,0.188303168,50,0.348123,0.2166625,0.21769958,5,5,1,0,"(65,70]","(35,40]","(45,50]","(50,55]",29.5,0,10.5,12.41198643,22.2375,0,21.8725,21.13123458,106.237,91.8545,104.4605,103.0928886,21,1,0,0,11,1,11,1,7,1,8,1,4,1,1/21/15
0.545347,0,0.274438,0.187060927,88,0.545347,0.2654905,0.275936057,49.00548288,0.078507124,0.230218118,0.575917874,68.94117647,49.00548288,0.230218118,1.342294347,5,5,0,0,"(60,65]","(35,40]","(45,50]","(45,50]",29,21,26.5,26.38001947,21.9375,21.715,21.87,21.87092153,105.834,102.809,103.761,104.1169862,23,1,1,1,8,1,12,1,4,1,8,1,3,1,1/22/15
0.644365,0.0878906,0.277935,0.191940273,94,0.644365,0.269103,0.280787202,49.00548288,0.078507124,0.230218118,0.575917874,68.94117647,49.00548288,0.230218118,1.342294347,5,5,0,0,"(70,75]","(40,45]","(45,50]","(50,55]",27.5,20.5,26.5,26.33066132,21.9125,21.7025,21.87,21.87040994,106.667,102.533,103.775,104.224633,24,1,0,0,9,1,12,1,3,1,8,1,1,1,1/23/15
4.87456,0,0.270897,0.185553934,90,4.87456,0.261828,0.334311356,49.00548288,0.078507124,0.230218118,0.575917874,68.94117647,49.00548288,0.230218118,1.342294347,5,5,0,0,"(70,75]","(40,45]","(50,55]","(55,60]",30.5,0,26.5,26.25075919,21.995,0.28,21.8725,21.8582039,106.837,102.14,104.331,104.677036,23,1,1,1,4,1,12,1,1,1,8,1,1,1,1/24/15
1.30733,0,0.2726675,0.191268741,96,1.30733,0.261828,0.282646823,49.00548288,0.078507124,0.230218118,0.575917874,68.94117647,49.00548288,0.230218118,1.342294347,5,5,0,0,"(65,70]","(35,40]","(50,55]","(50,55]",27,0.5,26,25.96183553,21.89,14.4575,21.8725,21.8704831,106.403,102.798,104.445,104.5781038,24,1,0,0,8,1,12,1,3,1,8,1,3,1,1/25/15
1.43883,0,0.281387,0.196966047,93,1.43883,0.274438,0.299918237,49.00548288,0.078507124,0.230218118,0.575917874,68.94117647,49.00548288,0.230218118,1.342294347,5,5,0,0,"(65,70]","(40,45]","(45,50]","(50,55]",30.5,0,24.5,24.75393462,22.09,0.2725,21.8725,21.86310051,106.481,102.116,104.1415,104.4693675,24,1,0,0,12,1,12,1,7,1,8,1,3,1,1/26/15
1.25994,0.0878906,0.277935,0.193739271,94,1.25994,0.270897,0.286606,49.00548288,0.078507124,0.230218118,0.575917874,68.94117647,49.00548288,0.230218118,1.342294347,5,5,0,0,"(70,75]","(50,55]","(60,65]","(60,65]",31.5,0.5,24.5,24.27611028,22.7575,8.065,21.8725,21.87034666,106.129,102.569,104.731,104.7226971,24,1,0,0,9,1,12,1,5,1,8,1,3,1,1/27/15
1.03994,0,0.274438,0.192544903,56,1.03994,0.267309,0.281664321,49.00548288,0.078507124,0.230218118,0.575917874,68.94117647,49.00548288,0.230218118,1.342294347,5,5,0,0,"(65,70]","(40,45]","(50,55]","(55,60]",27,0,24,18.26165973,21.9375,0.005,21.8725,21.52161209,105.978,90.5323,104.0085,99.91399425,14,1,6,1,3,1,7,1,1,1,4,1,0,0,1/28/15
2.96492,0.0621481,0.224078,0.149728309,45,1.34303,0.219727,0.272389111,49.00548288,0.078507124,0.230218118,0.575917874,68.94117647,49.00548288,0.230218118,1.342294347,5,5,0,0,"(70,75]","(40,45]","(50,55]","(50,55]",34.5,0.5,24.5,24.69088273,25.69,0.0075,21.8725,21.61361204,106.211,89.7437,103.844,102.092216,12,1,9,1,1,1,5,1,0,0,4,1,0,0,1/29/15
